,rank,code,name,marcap,marcap_pct,year,sector
0,1,005930,삼성전자,202.095,15.47%,2013,반도체와반도체장비
1,2,005380,현대차,52.095,3.99%,2013,자동차
2,3,012330,현대모비스,28.570,2.19%,2013,자동차부품
3,4,005490,POSCO,28.467,2.18%,2013,철강
4,5,000660,SK하이닉스,26.135,2.00%,2013,반도체와반도체장비
5,6,035420,NAVER,23.865,1.83%,2013,인터넷소프트웨어와서비스
6,7,005935,삼성전자우,23.130,1.77%,2013,반도체와반도체장비
7,8,000270,기아차,22.741,1.74%,2013,자동차
8,9,055550,신한지주,22.430,1.72%,2013,은행
9,10,015760,한국전력,22.308,1.71%,2013,전기유틸리티
10,11,032830,삼성생명,20.800,1.59%,2013,생명보험
11,12,051910,LG화학,19.848,1.52%,2013,화학
12,13,009540,현대중공업,19.532,1.50%,2013,조선
13,14,017670,SK텔레콤,18.572,1.42%,2013,무선통신서비스
14,15,105560,KB금융,16.323,1.25%,2013,은행
15,16,096770,SK이노베이션,13.084,1.00%,2013,석유와가스
16,17,086790,하나금융지주,12.726,0.97%,2013,은행
17,18,023530,롯데쇼핑,12.722,0.97%,2013,백화점과일반상점
18,19,000810,삼성화재,12.270,0.94%,2013,손해보험
19,20,066570,LG전자,11.144,0.85%,2013,전자제품
20,21,003550,LG,11.044,0.85%,2013,복합기업
21,22,053000,우리금융,10.720,0.82%,2013,은행
22,23,033780,KT&G,10.228,0.78%,2013,담배
23,24,000830,삼성물산,9.467,0.72%,2013,건설
24,25,034220,LG디스플레이,9.071,0.69%,2013,디스플레이패널
25,26,003600,SK,8.970,0.69%,2013,석유와가스
26,27,010140,삼성중공업,8.785,0.67%,2013,조선
27,28,086280,현대글로비스,8.663,0.66%,2013,도로와철도운송
28,29,051900,LG생활건강,8.559,0.66%,2013,가정용품
29,30,010950,S-Oil,8.331,0.64%,2013,석유와가스
30,31,030200,KT,8.238,0.63%,2013,다각화된통신서비스
31,32,011170,롯데케미칼,7.952,0.61%,2013,화학
32,33,161390,한국타이어,7.519,0.58%,2013,자동차부품
33,34,139480,이마트,7.429,0.57%,2013,백화점과일반상점
34,35,006400,삼성SDI,7.380,0.57%,2013,디스플레이패널
35,36,004020,현대제철,7.363,0.56%,2013,철강
36,37,000720,현대건설,6.759,0.52%,2013,건설
37,38,034730,SK C&C,6.750,0.52%,2013,IT서비스
38,39,042660,대우조선해양,6.699,0.51%,2013,조선
39,40,024110,기업은행,6.685,0.51%,2013,은행
40,41,035250,강원랜드,6.621,0.51%,2013,"호텔,레스토랑,레저"
41,42,088350,한화생명,6.592,0.50%,2013,생명보험
42,43,036460,한국가스공사,6.148,0.47%,2013,가스유틸리티
43,44,010130,고려아연,6.001,0.46%,2013,비철금속
